iter	Passed	Remaining
1295	5757	11434
1296	5761	11429
1297	5765	11425
1298	5771	11423
1299	5775	11418
1300	5780	11414
1301	5784	11409
1302	5789	11405
1303	5793	11399
1304	5797	11394
1305	5801	11389
1306	5805	11385
1307	5810	11380
1308	5814	11375
1309	5818	11371
1310	5822	11365
1311	5827	11360
1312	5831	11357
1313	5836	11352
1314	5840	11347
1315	5844	11342
1316	5848	11338
1317	5853	11333
1318	5858	11329
1319	5862	11325
1320	5867	11320
1321	5871	11316
1322	5875	11311
1323	5880	11307
1324	5884	11302
1325	5888	11297
1326	5892	11292
1327	5897	11287
1328	5901	11283
1329	5905	11278
1330	5909	11273
1331	5914	11268
1332	5918	11264
1333	5922	11259
1334	5926	11254
1335	5931	11250
1336	5936	11246
1337	5940	11241
1338	5944	11236
1339	5949	11232
1340	5953	11227
1341	5957	11222
1342	5961	11217
1343	5966	11213
1344	5970	11208
1345	5974	11202
1346	5978	11198
1347	5983	11194
1348	5987	11189
1349	5991	11184
1350	5996	11179
1351	6000	11175
1352	6004	11170
1353	6008	11165
1354	6013	11162
1355	6017	11157
1356	6022	11152
1357	6026	11148
1358	6031	11144
1359	6035	11139
1360	6039	11134
1361	6044	11129
1362	6048	11125
1363	6053	11121
1364	6057	11115
1365	6061	11111
1366	6066	11107
1367	6068	11099
1368	6072	11094
1369	6077	11089
1370	6081	11085
1371	6085	11080
1372	6090	11076
1373	6094	11071
1374	6099	11067
1375	6103	11062
1376	6107	11057
1377	6112	11053
1378	6116	11048
1379	6120	11043
1380	6124	11038
1381	6129	11034
1382	6133	11029
1383	6137	11024
1384	6142	11020
1385	6147	11017
1386	6151	11012
1387	6155	11007
1388	6160	11003
1389	6164	10998
1390	6168	10993
1391	6173	10989
1392	6178	10985
1393	6182	10980
1394	6186	10975
1395	6190	10971
1396	6195	10967
1397	6199	10962
1398	6205	10961
1399	6210	10956
1400	6214	10951
1401	6218	10946
1402	6223	10942
1403	6228	10939
1404	6232	10934
1405	6236	10929
1406	6241	10925
1407	6245	10921
1408	6249	10916
1409	6254	10911
1410	6259	10907
1411	6263	10902
1412	6267	10897
1413	6271	10893
1414	6276	10889
1415	6280	10884
1416	6284	10879
1417	6289	10875
1418	6293	10871
1419	6297	10866
1420	6302	10861
1421	6306	10856
1422	6310	10851
1423	6314	10846
1424	6319	10842
1425	6324	10839
1426	6328	10834
1427	6332	10829
1428	6337	10825
1429	6341	10821
1430	6345	10815
1431	6350	10811
1432	6354	10806
1433	6358	10802
1434	6362	10797
1435	6367	10792
1436	6371	10787
1437	6375	10782
1438	6379	10777
1439	6383	10772
1440	6388	10768
1441	6392	10763
1442	6396	10758
1443	6400	10753
1444	6405	10749
1445	6409	10745
1446	6413	10739
1447	6419	10737
1448	6424	10734
1449	6428	10729
1450	6433	10725
1451	6438	10721
1452	6442	10716
1453	6446	10711
1454	6451	10707
1455	6455	10703
1456	6459	10698
1457	6463	10693
1458	6468	10689
1459	6472	10684
1460	6476	10679
1461	6481	10675
1462	6485	10670
1463	6490	10665
1464	6494	10660
1465	6499	10657
1466	6503	10653
1467	6507	10648
1468	6511	10643
1469	6516	10638
1470	6520	10634
1471	6524	10629
1472	6528	10624
1473	6533	10619
1474	6537	10615
1475	6542	10610
1476	6546	10606
1477	6551	10602
1478	6555	10597
1479	6559	10592
1480	6563	10587
1481	6568	10583
1482	6572	10578
1483	6576	10573
1484	6580	10569
1485	6585	10564
1486	6589	10560
1487	6593	10555
1488	6597	10550
1489	6602	10546
1490	6606	10541
1491	6610	10536
1492	6614	10531
1493	6619	10527
1494	6623	10522
1495	6628	10518
1496	6632	10513
1497	6636	10509
1498	6640	10504
1499	6645	10499
1500	6649	10495
1501	6653	10490
1502	6658	10485
1503	6662	10480
1504	6666	10476
1505	6670	10471
1506	6676	10468
1507	6681	10465
1508	6685	10460
1509	6689	10455
1510	6694	10451
1511	6698	10447
1512	6703	10442
1513	6707	10437
1514	6711	10432
1515	6716	10428
1516	6720	10423
1517	6724	10419
1518	6728	10414
1519	6733	10409
1520	6737	10404
1521	6741	10400
1522	6746	10396
1523	6750	10391
1524	6754	10386
1525	6758	10382
1526	6763	10377
1527	6767	10373
1528	6771	10368
1529	6776	10364
1530	6780	10359
1531	6784	10354
1532	6789	10350
1533	6793	10345
1534	6798	10341
1535	6802	10336
1536	6807	10332
1537	6811	10328
1538	6816	10324
1539	6821	10321
1540	6825	10316
1541	6830	10311
1542	6834	10307
1543	6839	10302
1544	6843	10298
1545	6847	10293
1546	6851	10288
1547	6856	10284
1548	6860	10279
1549	6864	10274
1550	6868	10270
1551	6873	10265
1552	6877	10261
1553	6882	10256
1554	6886	10251
1555	6890	10247
1556	6895	10243
1557	6899	10238
1558	6903	10233
1559	6907	10229
1560	6912	10224
1561	6916	10219
1562	6921	10215
1563	6925	10211
1564	6929	10206
1565	6934	10201
1566	6938	10197
1567	6943	10193
1568	6947	10189
1569	6951	10183
1570	6956	10180
1571	6960	10175
1572	6965	10170
1573	6969	10166
1574	6973	10161
1575	6977	10156
1576	6981	10152
1577	6986	10147
1578	6991	10143
1579	6995	10138
1580	6999	10133
1581	7003	10129
1582	7008	10125
1583	7012	10120
1584	7016	10115
1585	7021	10111
1586	7025	10106
1587	7029	10101
1588	7033	10096
1589	7038	10092
1590	7042	10088
1591	7046	10083
1592	7050	10078
1593	7055	10073
1594	7059	10068
1595	7063	10063
1596	7067	10059
1597	7071	10054
1598	7075	10049
1599	7079	10044
1600	7084	10040
1601	7088	10035
1602	7092	10030
1603	7096	10025
1604	7102	10022
1605	7106	10018
1606	7110	10013
1607	7114	10008
1608	7119	10003
1609	7123	9999
1610	7127	9994
1611	7131	9989
1612	7135	9984
1613	7140	9980
1614	7144	9975
1615	7148	9970
1616	7153	9967
1617	7157	9962
1618	7161	9957
1619	7166	9952
1620	7170	9949
1621	7175	9944
1622	7178	9939
1623	7183	9935
1624	7188	9930
1625	7192	9925
1626	7196	9921
1627	7200	9916
1628	7205	9911
1629	7209	9906
1630	7213	9901
1631	7217	9897
1632	7221	9892
1633	7225	9887
1634	7229	9882
1635	7233	9877
1636	7238	9873
1637	7242	9868
1638	7246	9864
1639	7250	9859
1640	7255	9854
1641	7259	9849
1642	7263	9845
1643	7267	9840
1644	7271	9835
1645	7275	9830
1646	7280	9826
1647	7284	9821
1648	7288	9816
1649	7292	9811
1650	7297	9807
1651	7302	9803
1652	7306	9798
1653	7310	9794
1654	7314	9789
1655	7318	9785
1656	7322	9780
1657	7327	9775
1658	7331	9770
1659	7335	9765
1660	7339	9760
1661	7343	9755
1662	7347	9751
1663	7352	9746
1664	7356	9741
1665	7360	9737
1666	7364	9732
1667	7368	9727
1668	7372	9722
1669	7377	9718
1670	7381	9713
1671	7385	9708
1672	7389	9703
1673	7393	9699
1674	7398	9695
1675	7402	9690
1676	7406	9684
1677	7410	9680
1678	7415	9676
1679	7419	9672
1680	7423	9667
1681	7428	9662
1682	7432	9658
1683	7436	9653
1684	7440	9648
